user_id,visit_freq,home_dist,work_dist,CIVIC_RELIGION,CULTURE,DINING,EDUCATION,FITNESS,GROCERIES,HEALTHCARE,PARK,RETAIL,SERVICE,TOURISM,TRANSPORT
9652d7c2-ca3a-454d-b102-80895aea7850,1,28727.80686,107.4549995,2,3,3,3,2,1,1,0,5,15,0,3
9652d7c2-ca3a-454d-b102-80895aea7850,11,,30.03631233,2,3,14,13,5,8,3,0,12,30,3,12
a467532e-1d04-4e17-b28c-c69879137d5b,4,,53.07267432,1,0,4,6,1,3,0,0,3,10,0,7
a467532e-1d04-4e17-b28c-c69879137d5b,1,,138768.2627,7,13,60,29,12,3,14,0,21,56,6,6
a467532e-1d04-4e17-b28c-c69879137d5b,3,29.11831773,25275.46975,0,0,8,3,1,5,0,0,4,3,1,6
a467532e-1d04-4e17-b28c-c69879137d5b,2,,140574.4748,1,1,6,5,3,2,3,0,9,11,2,2
a467532e-1d04-4e17-b28c-c69879137d5b,1,5226.487878,22493.6912,0,0,3,0,0,0,0,0,0,1,1,3
a467532e-1d04-4e17-b28c-c69879137d5b,3,25235.6097,52.91209472,0,0,0,0,0,0,0,0,0,0,0,0
a467532e-1d04-4e17-b28c-c69879137d5b,10,66.44274963,,2,0,15,6,0,3,4,0,2,4,0,1
a467532e-1d04-4e17-b28c-c69879137d5b,250,57.29967752,,0,0,14,6,0,5,4,0,3,4,0,1
a467532e-1d04-4e17-b28c-c69879137d5b,7,,61563.51605,2,11,38,2,5,7,2,0,31,30,17,9
a467532e-1d04-4e17-b28c-c69879137d5b,4,152541.5884,147449.9117,0,3,35,5,12,1,8,0,13,23,6,4
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,1,192.2436313,5237.693441,2,3,18,7,7,4,8,0,11,18,3,5
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,2,559.4886612,5018.384942,3,0,16,2,5,2,4,0,5,6,1,5
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,6,16.453751,2380.806902,2,4,16,9,8,4,4,0,5,14,4,5
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,1,486.9361683,5548.476381,0,2,20,2,3,1,1,0,9,19,1,5
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,1,399.0838258,5622.53154,0,6,6,9,4,0,3,0,6,12,3,3
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,1,5216.318806,76.33199929,11,7,76,27,19,19,30,0,43,77,0,18
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,1,5266.332255,7577.124119,7,6,61,19,16,18,23,0,39,63,0,16
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,3,5097.610721,150.7454208,12,8,87,30,21,21,31,0,48,86,4,19
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,1,5003.334511,349.9710734,12,8,87,29,21,24,34,0,46,79,4,17
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,1,3199.305551,2032.369589,1,1,6,9,3,3,0,0,3,7,0,6
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,1,3316.468731,1878.255282,1,1,14,10,5,4,1,0,3,14,1,7
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,5,5315.338926,379.8862052,8,4,58,20,18,17,21,0,42,59,0,11
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,5,4715.5367,2255.56299,0,3,20,12,6,3,1,0,3,14,1,1
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,3,5701.858258,8899.636592,1,0,10,2,5,2,2,0,20,15,1,2
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,4,5975.704622,1642.485705,0,0,7,3,0,2,3,0,2,6,1,2
b8b7ba9f-9a89-4382-aadc-4ff12eeeb57a,7,379003.2742,374074.284,0,0,2,0,1,0,0,0,0,0,3,3
b9189018-8839-4ec9-a189-0d19aaadaa8e,2,4219.356366,3347.023387,0,0,0,0,0,0,0,0,0,1,0,2
b9189018-8839-4ec9-a189-0d19aaadaa8e,1,13262.87224,11131.93946,0,0,0,0,0,0,0,0,0,0,0,0
b9189018-8839-4ec9-a189-0d19aaadaa8e,29,2325.298747,48.80577089,2,6,53,16,8,10,19,0,50,93,8,7
b9189018-8839-4ec9-a189-0d19aaadaa8e,5,2438.545911,76.47955912,2,5,55,15,8,12,24,0,52,98,7,6
b9189018-8839-4ec9-a189-0d19aaadaa8e,1,2896.479485,2545.810686,1,0,0,4,0,0,0,0,1,3,1,4
b9189018-8839-4ec9-a189-0d19aaadaa8e,4,83.83950219,2387.306216,0,0,0,0,0,0,0,0,0,0,0,1
b9189018-8839-4ec9-a189-0d19aaadaa8e,11,39.81017775,2353.641565,0,0,0,0,0,0,0,0,0,0,0,1
b9189018-8839-4ec9-a189-0d19aaadaa8e,1,2326.547282,1756.280439,0,0,1,0,4,0,0,0,5,5,0,2
b9189018-8839-4ec9-a189-0d19aaadaa8e,1,1347.04651,1895.414681,0,0,1,3,0,1,0,0,0,3,0,7
b9189018-8839-4ec9-a189-0d19aaadaa8e,1,11.58228139,1618.004812,1,1,1,2,0,0,0,0,0,2,0,4
b9189018-8839-4ec9-a189-0d19aaadaa8e,2,78029.84548,77602.88361,4,5,12,6,11,3,8,0,8,38,1,7
